Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
12/12/80,0.10032,0.10076,0.10032,0.10032,469033600,0,0
12/15/80,0.09553,0.09553,0.09509,0.09509,175884800,0,0
12/16/80,0.08855,0.08855,0.08811,0.08811,105728000,0,0
12/17/80,0.09029,0.09073,0.09029,0.09029,86441600,0,0
12/18/80,0.09291,0.09334,0.09291,0.09291,73449600,0,0
12/19/80,0.09858,0.09901,0.09858,0.09858,48630400,0,0
12/22/80,0.10338,0.10381,0.10338,0.10338,37363200,0,0
12/23/80,0.10774,0.10817,0.10774,0.10774,46950400,0,0
12/24/80,0.11341,0.11384,0.11341,0.11341,48003200,0,0
12/26/80,0.12388,0.12431,0.12388,0.12388,55574400,0,0
12/29/80,0.12562,0.12606,0.12562,0.12562,93161600,0,0
12/30/80,0.12301,0.12301,0.12257,0.12257,68880000,0,0
12/31/80,0.11952,0.11952,0.11908,0.11908,35750400,0,0
1/2/81,0.12039,0.12126,0.12039,0.12039,21660800,0,0
1/5/81,0.11821,0.11821,0.11777,0.11777,35728000,0,0
1/6/81,0.11297,0.11297,0.11254,0.11254,45158400,0,0
1/7/81,0.10817,0.10817,0.10774,0.10774,55686400,0,0
1/8/81,0.10599,0.10599,0.10556,0.10556,39827200,0,0
1/9/81,0.11123,0.11166,0.11123,0.11123,21504000,0,0
1/12/81,0.11123,0.11123,0.11036,0.11036,23699200,0,0
1/13/81,0.10687,0.10687,0.10643,0.10643,23049600,0,0
1/14/81,0.10687,0.10730,0.10687,0.10687,14291200,0,0
1/15/81,0.10905,0.10992,0.10905,0.10905,14067200,0,0
1/16/81,0.10861,0.10861,0.10817,0.10817,13395200,0,0
1/19/81,0.11472,0.11515,0.11472,0.11472,41574400,0,0
1/20/81,0.11166,0.11166,0.11123,0.11123,30083200,0,0
1/21/81,0.11341,0.11428,0.11341,0.11341,15904000,0,0
1/22/81,0.11472,0.11559,0.11472,0.11472,35548800,0,0
1/23/81,0.11472,0.11515,0.11428,0.11428,11222400,0,0
1/26/81,0.11297,0.11297,0.11254,0.11254,24640000,0,0
1/27/81,0.11254,0.11254,0.11166,0.11166,23699200,0,0
1/28/81,0.10861,0.10861,0.10817,0.10817,28156800,0,0
1/29/81,0.10469,0.10469,0.10425,0.10425,43904000,0,0
1/30/81,0.09945,0.09945,0.09858,0.09858,46188800,0,0
2/2/81,0.09334,0.09334,0.09291,0.09291,23766400,0,0
2/3/81,0.09640,0.09683,0.09640,0.09640,19152000,0,0
2/4/81,0.09989,0.10032,0.09989,0.09989,27865600,0,0
2/5/81,0.09989,0.10076,0.09989,0.09989,7929600,0,0
2/6/81,0.10032,0.10076,0.10032,0.10032,13865600,0,0
2/9/81,0.09596,0.09596,0.09509,0.09509,16755200,0,0
2/10/81,0.09509,0.09553,0.09509,0.09509,18345600,0,0
2/11/81,0.09247,0.09247,0.09204,0.09204,13843200,0,0
2/12/81,0.09160,0.09160,0.09116,0.09116,14560000,0,0
2/13/81,0.08985,0.08985,0.08898,0.08898,11155200,0,0
2/17/81,0.09116,0.09160,0.09116,0.09116,12275200,0,0
2/18/81,0.09509,0.09596,0.09509,0.09509,19241600,0,0
2/19/81,0.08985,0.08985,0.08942,0.08942,22310400,0,0
2/20/81,0.08506,0.08506,0.08462,0.08462,24371200,0,0
2/23/81,0.08593,0.08637,0.08593,0.08593,14112000,0,0
2/24/81,0.08375,0.08375,0.08288,0.08288,16979200,0,0
2/25/81,0.08811,0.08855,0.08811,0.08811,19488000,0,0
2/26/81,0.08942,0.08985,0.08942,0.08942,10841600,0,0
2/27/81,0.09247,0.09334,0.09247,0.09247,14761600,0,0
3/2/81,0.09291,0.09334,0.09291,0.09291,11760000,0,0
3/3/81,0.09204,0.09204,0.09160,0.09160,16172800,0,0
3/4/81,0.09116,0.09116,0.09073,0.09073,13708800,0,0
3/5/81,0.09073,0.09073,0.09029,0.09029,5376000,0,0
3/6/81,0.09029,0.09029,0.08942,0.08942,11603200,0,0
3/9/81,0.08288,0.08288,0.08244,0.08244,15321600,0,0
3/10/81,0.07895,0.07895,0.07851,0.07851,28380800,0,0
3/11/81,0.07633,0.07633,0.07546,0.07546,29859200,0,0
3/12/81,0.07851,0.07895,0.07851,0.07851,59248000,0,0
3/13/81,0.07808,0.07808,0.07764,0.07764,231302400,0,0
3/16/81,0.08070,0.08157,0.08070,0.08070,37228800,0,0
3/17/81,0.08462,0.08549,0.08462,0.08462,43747200,0,0
