Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
5/15/97,2.43750,2.50000,1.92708,1.95833,72156000,0,0
5/16/97,1.96875,1.97917,1.70833,1.72917,14700000,0,0
5/19/97,1.76042,1.77083,1.62500,1.70833,6106800,0,0
5/20/97,1.72917,1.75000,1.63542,1.63542,5467200,0,0
5/21/97,1.63542,1.64583,1.37500,1.42708,18853200,0,0
5/22/97,1.43750,1.44792,1.31250,1.39583,11776800,0,0
5/23/97,1.40625,1.52083,1.33333,1.50000,15937200,0,0
5/27/97,1.51042,1.64583,1.45833,1.58333,8697600,0,0
5/28/97,1.62500,1.63542,1.53125,1.53125,4574400,0,0
5/29/97,1.54167,1.54167,1.47917,1.50521,3472800,0,0
5/30/97,1.50000,1.51042,1.47917,1.50000,2594400,0,0
6/2/97,1.51042,1.53125,1.50000,1.51042,591600,0,0
6/3/97,1.53125,1.53125,1.47917,1.47917,1183200,0,0
6/4/97,1.47917,1.48958,1.39583,1.41667,3080400,0,0
6/5/97,1.41667,1.54167,1.37500,1.54167,5672400,0,0
6/6/97,1.51563,1.70833,1.51042,1.65625,7807200,0,0
6/9/97,1.65625,1.70833,1.65625,1.68750,2352000,0,0
6/10/97,1.70833,1.70833,1.53125,1.58333,5458800,0,0
6/11/97,1.59375,1.60417,1.53125,1.54167,1188000,0,0
6/12/97,1.58333,1.64583,1.55208,1.60417,1632000,0,0
6/13/97,1.62500,1.62500,1.58333,1.58333,693600,0,0
6/16/97,1.60417,1.60417,1.56250,1.57292,913200,0,0
6/17/97,1.59896,1.59896,1.49479,1.50521,4706400,0,0
6/18/97,1.52083,1.53646,1.50000,1.51042,2464800,0,0
6/19/97,1.51042,1.53125,1.50000,1.51042,1003200,0,0
6/20/97,1.53125,1.55208,1.50000,1.52604,3387600,0,0
6/23/97,1.54167,1.54167,1.47917,1.50000,1047600,0,0
6/24/97,1.50521,1.52604,1.47917,1.51042,751200,0,0
6/25/97,1.52604,1.52604,1.48958,1.51042,2106000,0,0
6/26/97,1.52083,1.52083,1.50521,1.51042,3189600,0,0
6/27/97,1.51563,1.51563,1.47917,1.48958,1188000,0,0
6/30/97,1.51042,1.59896,1.47917,1.54167,2746800,0,0
7/1/97,1.54167,1.54167,1.51042,1.51563,1292400,0,0
7/2/97,1.51563,1.59375,1.51042,1.58854,3882000,0,0
7/3/97,1.59896,1.91667,1.59375,1.91146,12577200,0,0
7/7/97,1.83333,2.02083,1.83333,2.00000,8053200,0,0
7/8/97,2.04167,2.33333,2.04167,2.30208,15517200,0,0
7/9/97,2.30208,2.38542,2.27083,2.32292,8262000,0,0
7/10/97,2.33333,2.57292,2.33333,2.56250,9051600,0,0
7/11/97,2.52083,2.52083,2.20833,2.29167,10531200,0,0
7/14/97,2.32292,2.33333,2.11458,2.13542,4604400,0,0
7/15/97,2.13542,2.47917,2.13542,2.43750,9274800,0,0
7/16/97,2.44792,2.49479,2.30208,2.33333,3024000,0,0
7/17/97,2.34375,2.34375,2.15625,2.21875,3169200,0,0
7/18/97,2.18750,2.21875,2.15625,2.15625,780000,0,0
7/21/97,2.17708,2.19792,2.14583,2.18229,574800,0,0
7/22/97,2.16667,2.18750,2.06250,2.13542,1563600,0,0
7/23/97,2.18750,2.33333,2.17708,2.29167,3259200,0,0
7/24/97,2.30208,2.31250,2.21875,2.26042,1216800,0,0
7/25/97,2.21875,2.25000,2.21875,2.22917,620400,0,0
7/28/97,2.22917,2.39583,2.21875,2.32292,2574000,0,0
7/29/97,2.36458,2.50000,2.33333,2.47917,4814400,0,0
7/30/97,2.50000,2.50521,2.42708,2.44792,2517600,0,0
7/31/97,2.43750,2.43750,2.33333,2.39583,1454400,0,0
8/1/97,2.34375,2.41667,2.25000,2.41667,3588000,0,0
8/4/97,2.37500,2.41146,2.30208,2.31250,2671200,0,0
8/5/97,2.33333,2.33333,2.14583,2.20833,3032400,0,0
8/6/97,2.20833,2.31250,2.18750,2.25000,1243200,0,0
8/7/97,2.25000,2.26042,2.12500,2.17708,2034000,0,0
8/8/97,2.16667,2.30208,2.10417,2.29167,2211600,0,0
8/11/97,2.29167,2.33333,2.25000,2.32813,1239600,0,0
8/12/97,2.28125,2.30208,2.19792,2.19792,571200,0,0
8/13/97,2.22917,2.22917,2.16667,2.19792,590400,0,0
8/14/97,2.17708,2.25000,2.11979,2.15625,1041600,0,0
8/15/97,2.13542,2.15625,1.93750,2.11458,1597200,0,0
8/18/97,2.05208,2.05208,1.96875,2.04167,1784400,0,0
8/19/97,2.09375,2.20833,2.05208,2.16667,1003200,0,0
8/20/97,2.18750,2.18750,2.07292,2.16667,999600,0,0
8/21/97,2.13542,2.17188,2.07292,2.11458,624000,0,0
8/22/97,2.10417,2.12500,2.09375,2.12500,712800,0,0
8/25/97,2.10417,2.26042,2.10417,2.21875,1126800,0,0
8/26/97,2.23958,2.35417,2.22917,2.34375,2574000,0,0
8/27/97,2.30729,2.32292,2.25000,2.31771,1392000,0,0
8/28/97,2.30208,2.39583,2.28125,2.37500,1147200,0,0
8/29/97,2.36458,2.37500,2.32292,2.33854,722400,0,0
9/2/97,2.34375,2.37500,2.33333,2.35417,732000,0,0
9/3/97,2.34375,2.41667,2.31250,2.33333,1964400,0,0
9/4/97,2.36458,2.55208,2.34375,2.55208,3348000,0,0
9/5/97,2.58333,2.66667,2.45833,2.50000,1908000,0,0
9/8/97,2.53125,3.02083,2.50000,3.00000,5648400,0,0
9/9/97,3.14063,3.38542,3.02604,3.23958,8971200,0,0
9/10/97,3.31250,3.32813,3.12500,3.30208,3866400,0,0
9/11/97,3.33333,3.33333,3.04167,3.15625,4262400,0,0
9/12/97,3.18750,3.69792,3.15625,3.68750,3333600,0,0
9/15/97,3.66667,3.67708,3.05208,3.09375,5583600,0,0
9/16/97,3.12500,3.54167,3.11979,3.35417,6432000,0,0
9/17/97,3.45833,3.50000,3.33333,3.40625,2607600,0,0
9/18/97,3.43750,3.46875,3.28125,3.29167,2128800,0,0
9/19/97,3.38021,4.08333,3.37500,3.94792,8929200,0,0
9/22/97,4.00000,4.67708,3.94792,4.50000,16938000,0,0
9/23/97,4.48958,4.64583,4.39583,4.62500,7682400,0,0
9/24/97,4.64583,4.81250,4.29167,4.37500,8200800,0,0
9/25/97,4.34375,4.35417,4.05208,4.07813,4968000,0,0
9/26/97,4.07292,4.26042,4.05208,4.16667,2731200,0,0
9/29/97,4.14583,4.18750,3.95833,4.04167,2371200,0,0
9/30/97,4.00000,4.34896,3.80208,4.33854,5254800,0,0
10/1/97,4.43750,4.50000,3.93750,4.02083,4999200,0,0
10/2/97,4.04167,4.17708,3.98958,4.01042,1876800,0,0
10/3/97,4.08333,4.12500,3.97917,4.01563,1164000,0,0
10/6/97,4.00000,4.12500,3.94271,4.12500,2028000,0,0
10/7/97,4.08333,4.18750,4.04167,4.05729,1742400,0,0
10/8/97,4.14583,4.16667,3.98438,4.00521,2806800,0,0
10/9/97,4.00000,4.02083,3.73958,3.75000,3950400,0,0
10/10/97,3.72917,4.06250,3.66667,3.90104,3787200,0,0
10/13/97,3.92708,4.04167,3.92708,4.00000,814800,0,0
10/14/97,4.06250,4.10417,3.83333,3.97917,1546800,0,0
10/15/97,3.96875,3.96875,3.77083,3.92188,2355600,0,0
10/16/97,3.97917,3.97917,3.60417,3.62500,3481200,0,0
10/17/97,3.61458,3.65625,3.52083,3.62500,2534400,0,0
10/20/97,3.67708,3.87500,3.66667,3.82292,4912800,0,0
10/21/97,3.95833,4.43750,3.85417,4.42708,12096000,0,0
10/22/97,4.41667,4.61979,4.37500,4.52083,5208000,0,0
10/23/97,4.22917,4.56250,4.18750,4.50000,5656800,0,0
10/24/97,4.75000,5.06250,4.54167,5.02604,9492000,0,0
10/27/97,4.80208,5.01042,4.22917,4.27083,6091200,0,0
10/28/97,3.91667,5.00000,3.87500,4.94792,11719200,0,0
10/29/97,5.14583,5.50000,5.00000,5.39063,7126800,0,0
10/30/97,5.20833,5.35417,5.04167,5.12500,4770000,0,0
10/31/97,5.36458,5.45833,4.96875,5.08333,5026800,0,0
11/3/97,5.21875,5.21875,4.94792,5.07292,1999200,0,0
11/4/97,5.00000,5.05208,4.82292,4.95833,2365200,0,0
11/5/97,4.97917,5.11979,4.87500,4.87500,3093600,0,0
11/6/97,4.91667,4.91667,4.63542,4.66146,2913600,0,0
11/7/97,4.41667,4.64063,4.38542,4.47917,2626800,0,0
11/10/97,4.50000,4.56250,4.20833,4.20833,2764800,0,0
11/11/97,4.24479,4.31250,3.91667,3.94792,4312800,0,0
11/12/97,3.77604,4.18750,3.66667,3.77083,8683200,0,0
11/13/97,3.94792,3.96875,3.77083,3.85938,4290000,0,0
11/14/97,3.93750,4.20833,3.78125,4.16667,5869200,0,0
11/17/97,4.22917,4.54167,4.21875,4.37500,7394400,0,0
11/18/97,4.37500,4.47917,4.34375,4.41667,1866000,0,0
11/19/97,4.40625,4.52083,4.31250,4.51042,2534400,0,0
11/20/97,4.57292,4.60417,4.51042,4.58333,5923200,0,0
