Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
8/19/04,50.05005,52.08208,48.02803,50.22022,44659096,0,0
8/20/04,50.55556,54.59460,50.30030,54.20921,22834343,0,0
8/23/04,55.43043,56.79680,54.57958,54.75475,18256126,0,0
8/24/04,55.67567,55.85586,51.83684,52.48749,15247337,0,0
8/25/04,52.53253,54.05405,51.99199,53.05305,9188602,0,0
8/26/04,52.52753,54.02903,52.38238,54.00901,7094898,0,0
8/27/04,54.10410,54.36436,52.89790,53.12813,6211782,0,0
8/30/04,52.69269,52.79780,51.05606,51.05606,5196798,0,0
8/31/04,51.20120,51.90691,51.13113,51.23624,4917877,0,0
9/1/04,51.40140,51.53654,49.88488,50.17517,9138253,0,0
9/2/04,49.64465,51.23624,49.51952,50.80581,15118666,0,0
9/3/04,50.52552,50.92092,49.70971,50.05505,5152442,0,0
9/7/04,50.55556,51.05105,49.85485,50.84084,5847547,0,0
9/8/04,50.42042,51.56657,50.30030,51.20120,4985609,0,0
9/9/04,51.31631,51.40641,50.55055,51.20621,4061734,0,0
9/10/04,50.85085,53.33333,50.70070,52.71772,8698892,0,0
9/13/04,53.36837,54.25926,53.28328,53.80380,7844148,0,0
9/14/04,53.77878,56.05606,53.44845,55.80080,10828960,0,0
9/15/04,55.33533,57.17217,55.15516,56.05606,10713076,0,0
9/16/04,56.22623,57.95796,55.88088,57.04204,9266324,0,0
9/17/04,57.26727,58.80380,56.83183,58.80380,9472518,0,0
9/20/04,58.53354,60.86086,58.44344,59.73974,10628761,0,0
9/21/04,59.96497,60.27027,58.81381,58.97898,7228764,0,0
9/22/04,58.75876,59.89489,58.46346,59.24925,7581211,0,0
9/23/04,59.47948,61.37638,58.56857,60.47047,8535656,0,0
9/24/04,60.53053,62.11211,59.93994,59.97498,9123467,0,0
9/27/04,59.83984,60.50050,58.95896,59.18919,7066127,0,0
9/28/04,60.71071,63.76376,60.16516,63.49349,16929054,0,0
9/29/04,63.41341,67.57758,63.17818,65.60561,30516453,0,0
9/30/04,65.01501,66.21622,64.56457,64.86487,13758028,0,0
10/1/04,65.46546,67.18719,64.51452,66.35635,15124860,0,0
10/4/04,67.69270,68.50350,67.08208,67.59760,13022764,0,0
10/5/04,67.39740,69.33434,66.18619,69.25426,14973212,0,0
10/6/04,68.84384,69.29430,68.06807,68.60861,13381405,0,0
10/7/04,68.52853,70.01001,68.34335,69.49449,14115071,0,0
10/8/04,69.42943,69.90991,68.57858,68.93394,11069519,0,0
10/11/04,68.56857,69.49950,66.99199,67.69770,10472117,0,0
10/12/04,67.28728,68.87387,66.76677,68.76877,11665523,0,0
10/13/04,71.73174,71.84685,70.11011,70.52052,19766214,0,0
10/14/04,70.57558,71.26126,69.34935,71.07107,10442147,0,0
10/15/04,72.53754,72.82282,71.04604,72.12713,13194792,0,0
10/18/04,71.67167,74.67467,70.67567,74.65466,14036350,0,0
10/19/04,75.32533,76.27628,73.74875,74.04404,18109872,0,0
10/20/04,74.08909,74.56957,69.86987,70.31532,22722655,0,0
10/21/04,72.27227,75.14014,70.88088,74.76476,29149821,0,0
10/22/04,85.35535,90.17518,82.12212,86.30130,73710016,0,0
10/25/04,88.28828,97.31231,86.36136,93.79379,65462872,0,0
10/26/04,93.26326,96.41641,90.09009,90.99099,44569586,0,0
10/27/04,91.45145,94.85486,90.97598,93.07808,26686287,0,0
10/28/04,93.43343,97.29229,92.89289,96.74675,29663906,0,0
10/29/04,99.54455,100.07507,95.39539,95.41541,42282675,0,0
11/1/04,96.87187,98.93394,95.73073,98.11311,24425350,0,0
11/2/04,99.48949,99.72472,96.76677,97.53253,22669907,0,0
11/3/04,99.18919,100.90090,95.47047,95.93093,27749623,0,0
11/4/04,94.31432,95.29530,91.76677,92.44244,28790381,0,0
11/5/04,91.08108,91.24124,84.35936,84.75976,39626534,0,0
11/8/04,85.55055,87.80781,84.78478,86.36136,22361216,0,0
