Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
3/13/86,0.05611,0.06436,0.05611,0.06161,1031788800,0,0
3/14/86,0.06161,0.06491,0.06161,0.06381,308160000,0,0
3/17/86,0.06381,0.06546,0.06381,0.06491,133171200,0,0
3/18/86,0.06491,0.06546,0.06271,0.06326,67766400,0,0
3/19/86,0.06326,0.06381,0.06161,0.06216,47894400,0,0
3/20/86,0.06216,0.06216,0.05996,0.06051,58435200,0,0
3/21/86,0.06051,0.06161,0.05776,0.05886,59990400,0,0
3/24/86,0.05886,0.05886,0.05666,0.05721,65289600,0,0
3/25/86,0.05721,0.05831,0.05666,0.05831,32083200,0,0
3/26/86,0.05831,0.06051,0.05776,0.05996,22752000,0,0
3/27/86,0.05996,0.06106,0.05996,0.06106,16848000,0,0
3/31/86,0.06106,0.06106,0.05941,0.06051,12873600,0,0
4/1/86,0.06051,0.06051,0.05996,0.05996,11088000,0,0
4/2/86,0.05996,0.06161,0.05996,0.06051,27014400,0,0
4/3/86,0.06106,0.06271,0.06106,0.06106,23040000,0,0
4/4/86,0.06106,0.06161,0.06106,0.06106,26582400,0,0
4/7/86,0.06106,0.06161,0.05886,0.05996,16560000,0,0
4/8/86,0.05996,0.06161,0.05996,0.06051,10252800,0,0
4/9/86,0.06051,0.06216,0.06051,0.06161,12153600,0,0
4/10/86,0.06161,0.06271,0.06051,0.06216,13881600,0,0
4/11/86,0.06271,0.06436,0.06271,0.06326,17222400,0,0
4/14/86,0.06326,0.06436,0.06326,0.06381,12153600,0,0
4/15/86,0.06381,0.06381,0.06161,0.06381,9302400,0,0
4/16/86,0.06381,0.06656,0.06326,0.06601,31910400,0,0
4/17/86,0.06601,0.06656,0.06601,0.06656,22003200,0,0
4/18/86,0.06656,0.06656,0.06381,0.06436,21628800,0,0
4/21/86,0.06436,0.06491,0.06271,0.06436,22924800,0,0
4/22/86,0.06436,0.06436,0.06326,0.06326,15552000,0,0
4/23/86,0.06326,0.06381,0.06271,0.06353,15609600,0,0
4/24/86,0.06353,0.07096,0.06326,0.06986,62352000,0,0
4/25/86,0.07041,0.07729,0.07041,0.07426,85795200,0,0
4/28/86,0.07426,0.07536,0.07371,0.07481,28886400,0,0
4/29/86,0.07481,0.07481,0.07206,0.07261,30326400,0,0
4/30/86,0.07261,0.07316,0.06931,0.07096,30902400,0,0
5/1/86,0.07096,0.07096,0.06876,0.06986,54345600,0,0
5/2/86,0.06986,0.07096,0.06931,0.06986,20246400,0,0
5/5/86,0.06986,0.06986,0.06931,0.06931,3254400,0,0
5/6/86,0.06986,0.07096,0.06986,0.06986,9734400,0,0
5/7/86,0.06986,0.07041,0.06876,0.06986,5155200,0,0
5/8/86,0.06986,0.07041,0.06931,0.07041,3542400,0,0
5/9/86,0.07041,0.07041,0.06986,0.06986,6076800,0,0
5/12/86,0.06986,0.07206,0.06986,0.07041,10483200,0,0
5/13/86,0.07041,0.07151,0.07041,0.07096,3830400,0,0
5/14/86,0.07096,0.07096,0.07041,0.07041,9302400,0,0
5/15/86,0.07041,0.07151,0.07041,0.07041,3801600,0,0
5/16/86,0.07041,0.07261,0.07041,0.07096,11952000,0,0
5/19/86,0.07096,0.07096,0.06931,0.06986,11001600,0,0
5/20/86,0.06986,0.06986,0.06876,0.06931,61977600,0,0
5/21/86,0.06931,0.06986,0.06821,0.06821,8092800,0,0
5/22/86,0.06821,0.06876,0.06821,0.06821,4406400,0,0
5/23/86,0.06821,0.06931,0.06821,0.06821,4089600,0,0
5/27/86,0.06821,0.07041,0.06821,0.07041,13881600,0,0
5/28/86,0.07041,0.07261,0.07041,0.07261,15523200,0,0
5/29/86,0.07261,0.07536,0.07206,0.07426,45676800,0,0
5/30/86,0.07481,0.07811,0.07481,0.07701,27072000,0,0
6/2/86,0.07701,0.07701,0.07481,0.07481,19728000,0,0
6/3/86,0.07481,0.07481,0.07371,0.07481,5011200,0,0
6/4/86,0.07481,0.07536,0.07371,0.07426,4723200,0,0
6/5/86,0.07426,0.07536,0.07371,0.07536,13708800,0,0
6/6/86,0.07536,0.07536,0.07426,0.07536,3427200,0,0
6/9/86,0.07536,0.07536,0.07206,0.07206,12672000,0,0
6/10/86,0.07206,0.07206,0.07096,0.07206,3427200,0,0
6/11/86,0.07206,0.07206,0.07096,0.07206,2304000,0,0
6/12/86,0.07206,0.07206,0.06876,0.06931,13708800,0,0
6/13/86,0.06931,0.06986,0.06876,0.06931,7891200,0,0
6/16/86,0.06931,0.06986,0.06821,0.06876,9590400,0,0
